diameter,albedo,id,name,pha_flag,magnitude_h,eccentricity,semi_major_axis,perihelion,inclination,n,per,per_y,moid_au,class_name,dataset_type,cluster_label
3.21,0.052,20025330, 25330 (1999 KV4),0,16.74,0.3709,1.541,0.969,14.33,0.5154,698.0,1.91,0.173,APO,measured,2
5.683,0.177,20025916, 25916 (2001 CP44),0,13.77,0.4998,2.558,1.279,15.76,0.2409,1490.0,4.09,0.273,AMO,measured,0
5.4,0.042,20026760, 26760 (2001 KP41),0,15.5,0.557,2.854,1.264,11.01,0.2044,1760.0,4.82,0.26,AMO,measured,0
1.172,0.027,20026817, 26817 (1987 QB),0,19.49,0.5937,2.806,1.14,3.5,0.2097,1720.0,4.7,0.127,AMO,measured,0
1.802,0.256,20027346, 27346 (2000 DN8),0,15.88,0.399,1.875,1.127,36.95,0.3839,938.0,2.57,0.443,AMO,measured,1
1.3,0.07,20029075, 29075 (1950 DA),1,17.28,0.5075,1.699,0.837,12.15,0.4452,809.0,2.21,0.0398,APO,measured,0
0.432,0.654,20033342, 33342 (1998 WT24),1,18.02,0.4177,0.7187,0.419,7.37,1.618,223.0,0.609,0.0105,ATE,measured,2
0.929,0.408,20035107, 35107 (1991 VH),1,16.87,0.1437,1.137,0.973,13.92,0.8134,443.0,1.21,0.0271,APO,measured,2
0.704,0.772,20035396, 35396 (1997 XF11),1,17.01,0.4838,1.442,0.745,4.1,0.569,633.0,1.73,0.000331,APO,measured,2
2.339,0.089,20036183, 36183 (1999 TX16),0,16.3,0.3323,1.551,1.036,38.22,0.5101,706.0,1.93,0.135,AMO,measured,1
0.643,0.469,20038086, 38086 Beowulf (1999 JB),0,17.35,0.5662,1.42,0.616,23.67,0.5824,618.0,1.69,0.385,APO,measured,1
2.517,0.092,20038091, 38091 (1999 JT3),0,16.3,0.4011,2.17,1.299,9.33,0.3084,1170.0,3.2,0.306,AMO,measured,0
1.554,0.184,20039572, 39572 (1993 DQ1),1,16.56,0.4928,2.036,1.033,10.03,0.3392,1060.0,2.91,0.0263,AMO,measured,0
2.131,0.205,20039796, 39796 (1997 TD),0,15.68,0.4683,2.251,1.197,12.93,0.2918,1230.0,3.38,0.188,AMO,measured,0
0.954,0.177,20040263, 40263 (1999 FQ5),0,17.75,0.161,1.495,1.254,25.84,0.5393,668.0,1.83,0.257,AMO,measured,2
1.641,0.214,20040267, 40267 (1999 GJ4),0,15.54,0.8084,1.339,0.257,34.48,0.6363,566.0,1.55,0.156,APO,measured,1
0.204,0.267,20041429, 41429 (2000 GE2),1,20.66,0.5556,1.593,0.708,2.17,0.4903,734.0,2.01,0.0111,APO,measured,0
0.844,0.227,20048603, 48603 (1995 BC2),0,17.82,0.4297,1.918,1.094,5.02,0.371,970.0,2.66,0.137,AMO,measured,0
0.89,0.171,20052387, 52387 Huitzilopochtli (1993 OM7),0,17.75,0.1897,1.282,1.039,24.15,0.679,530.0,1.45,0.0604,AMO,measured,2
1.059,0.471,20052750, 52750 (1998 KK17),0,16.67,0.5249,1.427,0.678,11.17,0.5783,623.0,1.7,0.163,APO,measured,2
1.0,,20052760, 52760 (1998 ML14),1,17.52,0.6236,2.409,0.907,2.43,0.2637,1370.0,3.74,0.017,APO,measured,0
6.742,0.051,20052762, 52762 (1998 MT24),0,14.81,0.6532,2.416,0.838,33.87,0.2625,1370.0,3.75,0.137,APO,measured,1
1.75,,20052768, 52768 (1998 OR2),1,16.02,0.5757,2.379,1.01,5.88,0.2685,1340.0,3.67,0.00584,APO,measured,0
7.0,,20053319, 53319 (1999 JM8),1,15.35,0.6415,2.724,0.976,13.84,0.2192,1640.0,4.5,0.0262,APO,measured,0
1.233,0.266,20053430, 53430 (1999 TY16),0,16.66,0.4032,2.099,1.253,60.41,0.3241,1110.0,3.04,0.291,AMO,measured,1
0.843,0.222,20053789, 53789 (2000 ED104),1,17.35,0.2692,1.371,1.002,40.78,0.6143,586.0,1.6,0.0478,APO,measured,1
1.189,0.181,20054401, 54401 (2000 LM),0,17.23,0.2623,1.711,1.262,18.95,0.4404,817.0,2.24,0.354,AMO,measured,2
1.349,0.244,20054686, 54686 (2001 DU8),0,16.61,0.3418,1.777,1.17,33.21,0.4161,865.0,2.37,0.434,AMO,measured,1
1.567,0.856,20054789, 54789 (2001 MZ7),0,15.08,0.2874,1.776,1.266,24.47,0.4164,864.0,2.37,0.292,AMO,measured,2
0.461,0.342,20055408, 55408 (2001 TC2),0,18.87,0.2246,1.1,0.853,30.39,0.8544,421.0,1.15,0.147,APO,measured,2
1.306,0.376,20055532, 55532 (2001 WG2),0,16.13,0.6952,1.795,0.547,38.54,0.4099,878.0,2.4,0.339,APO,measured,1
0.918,0.033,20065679, 65679 (1989 UQ),1,19.62,0.2645,0.9148,0.673,1.3,1.126,320.0,0.875,0.014,ATE,measured,2
0.78,,20065803, 65803 Didymos (1996 GT),1,18.11,0.3832,1.643,1.013,3.41,0.4682,769.0,2.11,0.0397,APO,measured,2
1.484,0.319,20066008, 66008 (1998 QH2),0,15.93,0.3627,1.426,0.909,61.01,0.5787,622.0,1.7,0.0776,APO,measured,1
2.864,0.224,20066146, 66146 (1998 TU3),0,14.36,0.4837,0.7875,0.407,5.42,1.41,255.0,0.699,0.0738,ATE,measured,2
1.222,0.187,20066251, 66251 (1999 GJ2),0,17.0,0.1981,1.536,1.231,11.28,0.518,695.0,1.9,0.247,AMO,measured,2
0.808,0.4,20066272, 66272 (1999 JW6),0,17.22,0.1433,1.508,1.291,51.31,0.5325,676.0,1.85,0.409,AMO,measured,1
1.317,,20066391, 66391 Moshup (1999 KW4),1,16.64,0.6884,0.6424,0.2,38.88,1.914,188.0,0.515,0.0119,ATE,measured,1
0.411,0.182,20066400, 66400 (1999 LT7),0,19.27,0.5725,0.8554,0.366,9.06,1.246,289.0,0.791,0.0589,ATE,measured,2
2.301,0.211,20068063, 68063 (2000 YJ66),0,15.57,0.4577,2.334,1.266,5.72,0.2764,1300.0,3.57,0.274,AMO,measured,0
0.994,0.449,20068216, 68216 (2001 CV26),1,16.57,0.3267,1.32,0.889,17.99,0.6499,554.0,1.52,0.0242,APO,measured,2
0.875,0.401,20068267, 68267 (2001 EA16),0,16.99,0.4273,1.51,0.865,38.82,0.5313,678.0,1.85,0.059,APO,measured,1
0.942,0.087,20068278, 68278 (2001 FC7),0,18.47,0.1143,1.436,1.272,2.62,0.5728,628.0,1.72,0.263,AMO,measured,2
0.736,0.291,20068346, 68346 (2001 KZ66),1,16.92,0.4165,1.507,0.88,16.7,0.5325,676.0,1.85,0.0385,APO,measured,2
3.512,0.299,20068348, 68348 (2001 LO7),0,14.27,0.8409,2.155,0.343,25.36,0.3115,1160.0,3.16,0.386,APO,measured,0
1.794,0.219,20068350, 68350 (2001 MK3),0,16.13,0.2475,1.67,1.256,29.57,0.4568,788.0,2.16,0.302,AMO,measured,1
1.182,0.289,20068548, 68548 (2001 XR31),1,16.56,0.4367,1.707,0.962,22.71,0.4419,815.0,2.23,0.0265,APO,measured,1
1.65,0.178,20068950, 68950 (2002 QF15),1,16.39,0.3443,1.057,0.693,25.15,0.907,397.0,1.09,0.00477,APO,measured,2
1.1,0.242,20085182, 85182 (1991 AQ),1,17.13,0.7776,2.22,0.494,3.12,0.2979,1210.0,3.31,0.016,APO,measured,0
