"diameter","albedo","spkid","full_name","pha","H","e","a","q","i","n","per","per_y","moid","class"
,,3879252,"       (2019 UC1)",N,25.33,0.2625,1.364,1.006,4.43,0.6189,582,1.59,0.0598,APO
,,3879253,"       (2019 UE1)",N,25.90,0.4833,1.939,1.002,3.70,0.3649,987,2.7,0.0191,APO
,,3879254,"       (2019 UF1)",N,25.80,0.7112,2.613,0.755,1.46,0.2333,1.54e+03,4.22,0.0156,APO
,,3879255,"       (2019 UG1)",N,26.14,0.6035,2.53,1.003,7.58,0.2449,1.47e+03,4.02,0.00983,APO
,,3879257,"       (2019 UH1)",N,24.11,0.5457,2.093,0.951,5.57,0.3255,1.11e+03,3.03,0.023,APO
,,3879256,"       (2019 UJ1)",N,27.70,0.5520,1.923,0.861,1.91,0.3697,974,2.67,0.00654,APO
,,3879268,"       (2019 UL1)",N,25.60,0.2218,1.301,1.013,25.47,0.664,542,1.48,0.0392,APO
,,3879276,"       (2019 UM1)",N,25.94,0.5076,2.059,1.014,6.98,0.3336,1.08e+03,2.95,0.0214,APO
,,3879274,"       (2019 UN1)",N,23.24,0.4290,0.8511,0.486,20.82,1.255,287,0.785,0.148,ATE
,,3879271,"       (2019 UO1)",N,25.21,0.0256,1.098,1.070,2.77,0.8561,421,1.15,0.0638,AMO
,,3879272,"       (2019 UP1)",N,25.30,0.4324,1.638,0.930,19.18,0.47,766,2.1,0.0592,APO
,,3879270,"       (2019 UQ1)",N,25.80,0.5702,2.558,1.099,4.66,0.2409,1.49e+03,4.09,0.103,AMO
,,3879273,"       (2019 UR1)",N,25.80,0.2544,0.9258,0.690,11.23,1.106,325,0.891,0.0447,ATE
,,3879267,"       (2019 US1)",N,24.10,0.3464,1.481,0.968,18.06,0.5468,658,1.8,0.149,APO
,,3879269,"       (2019 UT1)",N,27.70,0.3083,1.15,0.795,5.36,0.7992,450,1.23,0.011,APO
,,3879275,"       (2019 UU1)",N,30.40,0.2311,1.029,0.791,1.13,0.9439,381,1.04,0.00027,APO
